Node	Time	EnergyCarrier	Demand
12	1	H2	0
12	2	H2	0
12	3	H2	0
13	1	H2	0
13	2	H2	0
13	3	H2	0
14	1	H2	0
14	2	H2	0
14	3	H2	0
15	1	H2	0
15	2	H2	0
15	3	H2	0
16	1	H2	0
16	2	H2	0
16	3	H2	0
17	1	H2	0
17	2	H2	0
17	3	H2	0
18	1	H2	0
18	2	H2	0
18	3	H2	0
19	1	H2	0
19	2	H2	0
19	3	H2	0
20	1	H2	0
20	2	H2	0
20	3	H2	0
1	1	CH4	0
1	2	CH4	0
1	3	CH4	0
2	1	CH4	0
2	2	CH4	0
2	3	CH4	0
3	1	CH4	0
3	2	CH4	0
3	3	CH4	0
4	1	CH4	0
4	2	CH4	0
4	3	CH4	0
5	1	CH4	0
5	2	CH4	0
5	3	CH4	0
6	1	CH4	0
6	2	CH4	0
6	3	CH4	0
7	1	CH4	0
7	2	CH4	0
7	3	CH4	0
8	1	CH4	0
8	2	CH4	0
8	3	CH4	0
9	1	CH4	0
9	2	CH4	0
9	3	CH4	0
10	1	CH4	0
10	2	CH4	0
10	3	CH4	0
11	1	CH4	0
11	2	CH4	0
11	3	CH4	0
12	1	CH4	0
12	2	CH4	0
12	3	CH4	0
13	1	CH4	0
13	2	CH4	0
13	3	CH4	0
14	1	CH4	0
14	2	CH4	0
14	3	CH4	0
15	1	CH4	0
15	2	CH4	0
15	3	CH4	0
16	1	CH4	0
16	2	CH4	0
16	3	CH4	0
17	1	CH4	0
17	2	CH4	0
17	3	CH4	0
18	1	CH4	0
18	2	CH4	0
18	3	CH4	0
19	1	CH4	0
19	2	CH4	0
19	3	CH4	0
20	1	CH4	0
20	2	CH4	0
20	3	CH4	0
1	1	Biogas	0
1	2	Biogas	0
1	3	Biogas	0
2	1	Biogas	0
2	2	Biogas	0
2	3	Biogas	0
3	1	Biogas	0
3	2	Biogas	0
3	3	Biogas	0
4	1	Biogas	0
4	2	Biogas	0
4	3	Biogas	0
5	1	Biogas	0
5	2	Biogas	0
5	3	Biogas	0
6	1	Biogas	0
6	2	Biogas	0
6	3	Biogas	0
7	1	Biogas	0
7	2	Biogas	0
7	3	Biogas	0
8	1	Biogas	0
8	2	Biogas	0
8	3	Biogas	0
9	1	Biogas	0
9	2	Biogas	0
9	3	Biogas	0
10	1	Biogas	0
10	2	Biogas	0
10	3	Biogas	0
11	1	Biogas	0
11	2	Biogas	0
11	3	Biogas	0
12	1	Biogas	0
12	2	Biogas	0
12	3	Biogas	0
13	1	Biogas	0
13	2	Biogas	0
13	3	Biogas	0
14	1	Biogas	0
14	2	Biogas	0
14	3	Biogas	0
15	1	Biogas	0
15	2	Biogas	0
15	3	Biogas	0
16	1	Biogas	0
16	2	Biogas	0
16	3	Biogas	0
17	1	Biogas	0
17	2	Biogas	0
17	3	Biogas	0
18	1	Biogas	0
18	2	Biogas	0
18	3	Biogas	0
19	1	Biogas	0
19	2	Biogas	0
19	3	Biogas	0
20	1	Biogas	0
20	2	Biogas	0
20	3	Biogas	0
1	1	CH4_H2_Mix	0
1	2	CH4_H2_Mix	0
1	3	CH4_H2_Mix	0
2	1	CH4_H2_Mix	0
2	2	CH4_H2_Mix	0
2	3	CH4_H2_Mix	0
3	1	CH4_H2_Mix	0
3	2	CH4_H2_Mix	0
3	3	CH4_H2_Mix	0
4	1	CH4_H2_Mix	0
4	2	CH4_H2_Mix	0
4	3	CH4_H2_Mix	0
5	1	CH4_H2_Mix	0
5	2	CH4_H2_Mix	0
5	3	CH4_H2_Mix	0
6	1	CH4_H2_Mix	0
6	2	CH4_H2_Mix	0
6	3	CH4_H2_Mix	0
7	1	CH4_H2_Mix	0
7	2	CH4_H2_Mix	0
7	3	CH4_H2_Mix	0
8	1	CH4_H2_Mix	0
8	2	CH4_H2_Mix	0
8	3	CH4_H2_Mix	0
9	1	CH4_H2_Mix	0
9	2	CH4_H2_Mix	0
9	3	CH4_H2_Mix	0
10	1	CH4_H2_Mix	0
10	2	CH4_H2_Mix	0
10	3	CH4_H2_Mix	0
11	1	CH4_H2_Mix	0
11	2	CH4_H2_Mix	0
11	3	CH4_H2_Mix	0
12	1	CH4_H2_Mix	0
12	2	CH4_H2_Mix	0
12	3	CH4_H2_Mix	0
13	1	CH4_H2_Mix	0
13	2	CH4_H2_Mix	0
13	3	CH4_H2_Mix	0
14	1	CH4_H2_Mix	0
14	2	CH4_H2_Mix	0
14	3	CH4_H2_Mix	0
15	1	CH4_H2_Mix	0
15	2	CH4_H2_Mix	0
15	3	CH4_H2_Mix	0
16	1	CH4_H2_Mix	0
16	2	CH4_H2_Mix	0
16	3	CH4_H2_Mix	0
17	1	CH4_H2_Mix	0
17	2	CH4_H2_Mix	0
17	3	CH4_H2_Mix	0
18	1	CH4_H2_Mix	0
18	2	CH4_H2_Mix	0
18	3	CH4_H2_Mix	0
19	1	CH4_H2_Mix	0
19	2	CH4_H2_Mix	0
19	3	CH4_H2_Mix	0
20	1	CH4_H2_Mix	0
20	2	CH4_H2_Mix	0
20	3	CH4_H2_Mix	0
